https://live-durhamnc.opendata.arcgis.com/datasets/supermarkets-warehouse-clubs-and-supercenters-1/data,,Open Data: City and County of Durham NC,,"Supermarkets, warehouse clubs and supercenters",,Source date:  November 2020,,,,,,,,,,,,,,,,,,,
X,Y,OBJECTID,facilityid,facilityarea,name,factype,fulladdr,municipality,agency,agencytype,agencyurl,pocname,pocphone,pocemail,phone,operdays,operhours,adultmeals,readytoeatmeals,comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-78.914497,36.02919,2141,137655,0,COSTCO WHOLESALE,Grocery Store,1510 N POINTE DR,DURHAM,,,https://www.costco.com/,,9192202770,,9192202770,7 days/week,Mon.-Fri. 10am-8:30pm; Sat. 9:30am-6pm; Sun. 10am-6pm,,,"Face covering required for all members and guests. Open from 9 am to 10 am, Mon-Fri for members ages 60 and older, and people with disabilities..",{06F8ED1F-2E7E-48F9-84EE-ABB04EEDB365},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.930969,36.056541,2173,138408,0,HARRIS TEETER #254,Grocery Store,1501 HORTON RD,DURHAM,,,https://www.harristeeter.com/,,,,9194711938,7 days/week,6am-11pm,,,Senior and vulnerable population hours Mon. and Thurs. 6am-8pm; Pick-up and limited delivery available,{2A52D4AD-A01C-4C56-95F2-CE705F8CA281},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.927773,36.05851,2180,138298,0,FOOD LION #420,Grocery Store,3808 GUESS RD,DURHAM,,,https://www.foodlion.com/,,9194710817,,9194710817,Monday-Saturday,Mon-Fri 9am-7pm; Sat 9am-4pm,,,,{E20A68DD-95F0-4153-8AF0-91326BB56A36},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.906609,36.06918,2192,136730,0,HARRIS TEETER #493,Grocery Store,5116 N ROXBORO ST,DURHAM,,,https://www.harristeeter.com/,,9194716263,,9194716263,7 days/week,6am-11pm,,,Senior and vulnerable population hours Mon. and Thurs. 6am-8pm; Pick-up and limited delivery available,{C9903CFC-5A1C-43E5-8C59-99E70F9B2852},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.911224,36.076511,2197,142712,0,FOOD LION #57,Grocery Store,5279 N ROXBORO RD,DURHAM,,,FOODLION.COM,,9194770438,,9194770438,7 days/week,7am-11pm,,,Senior and high-risk Mon and Wed 7-8am; Pick-up and delivery available at some stores,{C45F1B81-E2A6-4212-839B-F4084A699CBB},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.902428,35.901958,2233,143051,0,AROUND THE WORLD MARKET,Grocery Store,1708 E NC HIGHWAY 54,DURHAM,,,https://www.aroundtheworldnc.com/,,9195725599,,9195725599,7 days/week,Mon-Sat 11am-9pm; Sun 11am-6pm,,,,{C1170E8F-A7BE-49B3-8640-27EBBFEC078A},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.898186,35.899097,2236,143682,0,FOOD LION #885,Grocery Store,4900 NC HIGHWAY 55 # 300,DURHAM,,,https://www.foodlion.com/,,9195444180,,9195444180,7 days/week,6am-11pm,,,Senior and high-risk Mon and Wed 7-8am; Pick-up and delivery available at some stores,{6CB7CA52-028F-4D47-9705-967339159C5B},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.895309,35.89912,2242,144539,0,SHILLA ORIENTAL MARKET LLC,Grocery Store,2107 ALLENDOWN DR # 103,DURHAM,,,,,9194848244,,9194848244,Tues- Sun,10am-9pm; 11am-7pm on Sundays,,,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,{E45E44FA-EBDF-48A5-8F4C-81CD537B3EE6},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.895836,35.900902,2243,144723,0,TORTILLERIA MIGUELENA,Grocery Store,4739 NC HIGHWAY 55,DURHAM,,,,,9192931736,,9192931736,,,,,Convenience Store,{1128CE89-0ED2-405E-B57C-39878CDAAB6E},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.889214,35.90189,2256,143780,0,HALGO EUROPEAN DELI & GROCERY,Grocery Store,4520 S ALSTON AVE,DURHAM,,,http://www.halgo-durham.com/,,9193212014,,9193212014,Tuesday-Saturday,Tues-Fri 10:30am-6:30pm;  Sat 10am-4pm,,,,{A904DB70-D9FA-4EB0-8F6A-4752DE44DDDF},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.903282,35.949211,2335,144761,0,TRIANGLE MINI MART,Grocery Store,4003 FAYETTEVILLE ST,DURHAM,,,,,9195301569,,,,,,,Convenience Store,{82DB6842-E3F6-4941-B353-057C682BFC3D},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.866417,35.972988,2368,135387,0,NEW YORK MINI MART,Grocery Store,2929 ANGIER AVE,DURHAM,,,,,9195987804,,9195987804,7 days a week,7am-10pm,,,CONVENIENCE STORES,{2045876E-278D-4BA6-8C55-2144C5ED8211},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.851891,35.956638,2369,134582,0,BILBOA FOOD MART,Grocery Store,3639 ANGIER AVE,DURHAM,,,,,9195969967,,9195969967,Monday-Saturday; Closed Sunday,Mon-Fri 8:30am-9:00pm; Sat 10:00am-6:00pm,,,,{59F9C52B-1A99-4129-B825-93DDE59469CF},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.89904,35.98531,2394,133613,0,LEONE INTERNATIONAL FOODS,Grocery Store,810 FAYETTEVILLE ST # 108,DURHAM,,,,,9196800800,,9196800800,,,,,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,{4F10C522-6F52-4194-97BA-1C4E85A0BAF3},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
